space,coe,gen_type,deg,id,generator,nil_exp,g_order
F_{4}\langle3\rangle,3,1,11,0,z,2,3
F_{4}\langle3\rangle,3,1,15,0,z,2,3
F_{4}\langle3\rangle,3,1,19,0,z,2,3
F_{4}\langle3\rangle,3,1,23,0,z,2,3

Spin(7),3,1,1,0,z,2,3
Spin(7),3,1,2,0,z,2,3
Spin(7),3,1,3,0,z,2,3
Spin(7),3,1,4,0,z,2,3
Spin(7),3,1,5,0,z,2,3
Spin(7),3,1,6,0,z,2,3
Spin(7),3,1,7,0,z,2,3

Spin(9),2,1,3,0,z,2,2
Spin(9),2,1,5,0,z,2,2
Spin(9),2,1,6,0,z,2,2
Spin(9),2,1,7,0,z,2,2
Spin(9),2,1,15,0,z,2,2

"F_{4}/Spin(9)",2,0,8,0,z,3,2



